Effect Size,Response,Estimate [95 % CI],p,I²
SMD,Plant richness,1.21 [0.37; 2.05],0.007,95.76
lnCVR,Plant richness,-0.18 [-0.38; 0.02],0.074,44.33
SMD,Plant height,-0.92 [-1.21; -0.64],0,8.81
lnCVR,Plant height,0.23 [-0.03; 0.49],0.069,15.45
SMD,Plant evenness,0.53 [-0.55; 1.6],0.217,89.78
lnCVR,Plant evenness,-0.09 [-0.58; 0.41],0.621,72.93
SMD,Plant diversity,0.45 [-0.04; 0.93],0.066,75.05
lnCVR,Plant diversity,-0.23 [-0.51; 0.06],0.104,51.95
SMD,Plant cover,0.13 [-0.81; 1.06],0.752,90.73
lnCVR,Plant cover,-0.38 [-0.93; 0.17],0.141,77.94
SMD,Plant biomass,-0.72 [-1.11; -0.33],0.007,0
lnCVR,Plant biomass,0.11 [-0.57; 0.8],0.668,62.19
SMD,Woody plant abundance,-0.96 [-2.24; 0.31],0.083,37.36
lnCVR,Woody plant abundance,0.24 [-0.31; 0.79],0.199,0
SMD,Invertebrate richness,0.48 [-0.56; 1.51],0.187,55.21
lnCVR,Invertebrate richness,-0.29 [-1.03; 0.45],0.229,0
SMD,Invertebrate abundance,0.45 [-0.18; 1.07],0.106,45.92
lnCVR,Invertebrate abundance,-0.03 [-0.52; 0.46],0.865,8.69
