"";"treatment";"enclosure";"exclosure";"but.eat";"but.rest";"but.sps";"bumb.eat";"bumb.sps";"num.species"
"1";"grazed";1;1;0;0;0;0;0;8,9921875
"2";"grazed";1;1;10;3;4;95;4;8,9921875
"3";"grazed";1;1;0;0;0;14;3;8,9921875
"4";"grazed";1;1;0;0;0;0;0;8,9921875
"5";"grazed";1;1;0;0;0;0;0;8,9921875
"6";"ungrazed";1;1;0;0;0;13;1;7,57731958762887
"7";"ungrazed";1;1;2;0;2;20;1;7,57731958762887
"8";"ungrazed";1;1;0;0;0;17;2;7,57731958762887
"9";"ungrazed";1;1;0;0;0;0;0;7,57731958762887
"10";"ungrazed";1;1;0;0;0;0;1;7,57731958762887
"11";"grazed";1;2;0;0;0;0;0;8,42857142857143
"12";"grazed";1;2;0;1;1;0;0;8,42857142857143
"13";"grazed";1;2;0;1;1;205;2;8,42857142857143
"14";"grazed";1;2;0;0;0;12;2;8,42857142857143
"15";"grazed";1;2;0;0;0;46;1;8,42857142857143
"16";"grazed";1;2;1;1;2;188;3;8,42857142857143
"17";"ungrazed";1;2;0;0;0;0;0;6,69230769230769
"18";"ungrazed";1;2;0;0;0;0;0;6,69230769230769
"19";"ungrazed";1;2;0;0;0;0;0;6,69230769230769
"20";"ungrazed";1;2;0;0;0;9;1;6,69230769230769
"21";"ungrazed";1;2;0;1;1;0;0;6,69230769230769
"22";"ungrazed";1;2;0;2;1;3;1;6,69230769230769
"23";"grazed";1;3;0;0;0;4;1;9,24822695035461
"24";"grazed";1;3;2;4;4;92;5;9,24822695035461
"25";"grazed";1;3;0;0;0;2;1;9,24822695035461
"26";"grazed";1;3;0;0;0;177;5;9,24822695035461
"27";"grazed";1;3;0;0;0;2;1;9,24822695035461
"28";"grazed";1;3;1;2;2;165;3;9,24822695035461
"29";"grazed";1;3;0;0;0;0;0;9,24822695035461
"30";"ungrazed";1;3;0;0;0;0;0;8,16494845360825
"31";"ungrazed";1;3;0;0;0;24;2;8,16494845360825
"32";"ungrazed";1;3;0;0;0;0;0;8,16494845360825
"33";"ungrazed";1;3;0;0;0;0;0;8,16494845360825
"34";"ungrazed";1;3;0;2;1;0;0;8,16494845360825
"35";"ungrazed";1;3;0;0;0;0;0;8,16494845360825
"36";"ungrazed";1;3;0;0;0;0;0;8,16494845360825
"37";"grazed";2;4;0;0;0;26;3;10,3020134228188
"38";"grazed";2;4;0;0;0;13;3;10,3020134228188
