Island,Status,Seabird Density (per km2),Pitfall Traps Days Collected,Observed,Estimated Arthropod Species (SChao1),Estimated Arthropod Species Density (C),Arthropod SWDI,Average Arthropod Biomass ,Average # Arthropods/
,,,,Arthropod Species (Sobs),,,,(g)/trap/,trap/day
,,,,,,,,day,
Agia Kali,N,511,15,18,19.5,17.826,1.195,1.575±,25.187±
,,,,,,,,0.673,19.304
Agrilou,G,651,16,29,33.65,28.9,2.633,0.06±,4.656±
,,,,,,,,0.057,2.457
Aspronissi,G,2247,16,21,27.96,24.59,2.304,0.027±,2.734±
,,,,,,,,0.025,1.443
Drionissi,N,1153,15,23,24.87,20.292,1.903,0.034±,4.517±
,,,,,,,,0.023,4.339
Fidussa,G,16,15,25,27.13,21.748,2.051,0.148±,4.217±
,,,,,,,,0.124,2.694
Grambonissi,N,53,23,22,29.8,25.094,1.481,0.013±,1.33±
,,,,,,,,0.01,1.232
Gramvoussa,R,11,22,36,41.59,33.079,2.41,0.081±,5.491±
,,,,,,,,0.018,3.53
Kisiri,R,722,23,28,32.99,29.958,1.939,0.063±,6.539±
,,,,,,,,0.046,4.833
Mikros Ambelas,R,3163,15,30,45.53,41.505,2.04,0.101±,3.733±
,,,,,,,,0.033,1.612
North Varvaronissi,N,5021,9,22,24.5,22.817,1.962,0.179±,12.267±
,,,,,,,,0.245,8.428
Petalidi,R,893,21,27,43.43,37.966,1.931,0.01±,2.381±
,,,,,,,,0.012,2.067
Preza,N,7440,19,33,35.33,32.054,1.779,0.04±,6.803±
,,,,,,,,0.034,5.682
Psalida,R,1654,24,23,24.99,22.348,2.268,0.021±,2.729±
,,,,,,,,0.026,1.104
South Varvaronissi,N,5416,9,20,55.86,49.812,1.993,0.113±,5.911±
,,,,,,,,0.066,2.793
Turlos,N,4200,18,25,32.17,28.56,1.644,0.03±,3.292±
,,,,,,,,0.015,1.142
Venetiko,G,16,15,26,34.97,29.659,1.556,0.228±,5.85±
,,,,,,,,0.069,2.329
