Island,Status,Area (m2),Observed Plant Species (Sobs),Estimated Plant Species (SChao2),Estimated Plant Species Density (C),Plant SWDI,Average % Vegetation Cover,Average Plant Biomass (g/m2),Average Plant Height (cm),
,,,,,,,,,,
Agia Kali,N,13700,34,41.27,27.601,3,82.545±,1572.188±,39.71±,
,,,,,,,7.066,1027.247,9.262,
Agrilou,G,84450,33,47.62,24.081,3.07,50.94±,204.688±,5.86±,
,,,,,,,10.667,120.196,1.124,
Aspronissi,G,42270,32,40.43,22.74,2.88,67.415±,1317.188±,14.96±,
,,,,,,,7.537,530.951,6.544,
Drionissi,N,376300,23,25.17,10.116,2.74,76.55±,2436.25±,17.73±,
,,,,,,,12.905,1634.541,3.842,
Fidussa,G,630400,32,38.08,14.138,3.03,53.48±,366.25±,15.37±,
,,,,,,,15.041,275.081,7.671,
Grambonissi,N,150100,28,28.16,13.035,2.95,85.945±,2817.5±,33.621±,
,,,,,,,5.659,1125.617,6.317,
Gramvoussa,R,792500,26,28.46,10.201,2.91,47.59±,1322.5±,12.29±,
,,,,,,,25.821,1602.06,7.779,
Kisiri,R,16630,10,10,6.492,1.98,36.093±,1815.625±,3.64±,
,,,,,,,5.546,1044.399,0.655,
Mikros Ambelas,R,14860,12,12,7.926,1.97,63.46±,1373.047±,28.04±,
,,,,,,,11.856,604.461,4.292,
North Varvaronissi,N,7966,14,16.85,12.248,2.33,86.08±,2760.938±,50.58±,
,,,,,,,6.59,1692.858,7.948,
Petalidi,R,50400,14,15.12,8.277,2.26,46.75±,880.938±,4.23±,
,,,,,,,6.01,218.832,0.247,
Preza,N,17070,18,21.44,13.862,2.32,52.675±,1470.625±,22.875±,
,,,,,,,14.129,860.324,11.947,
Psalida,R,25990,15,16.17,9.801,2.03,34.05±,1591.406±,3.16±,
,,,,,,,1.409,1036.111,1.219,
South Varvaronissi,N,28250,22,22.98,13.751,2.7,55.69±,1470.938±,18.59±,
,,,,,,,19.105,735.567,9.746,
Turlos,N,32140,27,32.12,18.843,2.86,79.935±,2206.875±,21.46±,
,,,,,,,12.582,1664.413,10.409,
Venetiko,G,121800,37,42.46,20.296,3.2,47.915±,944.063±,6.31±,
,,,,,,,5.95,1486.451,1.15,
