jt,Management,AG-N content,AG-C content,AG-P content,AG C/N ratio,AG C/P ratio,AG N/P ratio,BG-N content,BG-C content,BG-P content,BG C/N ratio,BG C/P ratio, BG N/P ratio,AG fresh biomass,AG dry biomass,BG dry biomass,RWC,AG/BG
JOS,control,13.0±4.9,427±7.8,1.8±0.5,39.8±7.7,738±146,20.1±0.7,8.3±1.5,361±24,1.1±0.05,51.8±4.7,1059±35,20.7±3.0,720±187,261±78,562±6,0.62±0.03,0.63±0.20
JOS,rewilding,19.3±4.9,423±1.4,3.0±0.8,27.4±7.0,404±124,14.6±1.1,9.4±0.5,392±5,1.3±0.04,51.4±2.7,824±32,16.8±0.7,639±330,193±110,682±111,0.69±0.03,0.37±0.15
HAV,control,18.5±1.2,436±3.8,2.9±0.6,28.0±2.0,436±104,15.3±3.0,11.3±1.1,403±19,1.2±0.22,43.0±4.9,928±186,22.1±4.6,274±76,91±15,372±58,0.65±0.04,0.32±0.07
HAV,rewilding,22.0±2.9,439±2.8,2.4±0.4,24.2±2.6,532±111,22.3±3.5,10.4±1.5,396±10,1.6±0.35,47.3±4.3,779±232,17.7±7.7,228±17,78±19,424±122,0.65±0.05,0.24±0.07
MAS,control,22.9±3.0,442±3.6,2.8±0.2,24.5±3.3,447±60,18.7±0.6,11.3±0.1,409±5,1.0±0.10,42.3±0.6,1129±112,26.8±2.3,347±5,105±11,551±86,0.67±0.03,0.23±0.02
MAS,rewilding,24.5±2.3,430±3.8,3.6±0.8,21.2±1.5,329±65,16.0±3.0,11.0±1.2,419±12,1.0±0.13,46.4±3.8,1190±248,27.0±7.7,228±91,64±20,380±91,0.71±0.03,0.24±0.11
MBV,control,12.8±1.5,430±6.2,1.2±0.5,40.3±4.9,1243±691,28.9±11.6,8.4±1.7,383±22,0.8±0.22,58.4±10.5,1381±376,23.8±2.2,502±226,202±84,402±111,0.59±0.03,0.61±0.14
MBV,rewilding,14.7±1.5,432±2.5,1.6±0.6,35.1±3.5,828±296,23.3±6.7,9.2±0.2,407±5,1.1±0.34,53.5±1.9,1053±343,20.4±6.3,410±60,159±25,486±111,0.61±0.03,0.41±0.09
MTR,control,12.4±0.8,436±2.3,1.5±0.3,41.6±2.1,844±181,20.0±3.4,7.4±0.9,389±23,0.8±0.22,63.6±10.2,1522±370,23.9±5.4,407±16,197±16,417±159,0.51±0.02,0.60±0.17
MTR,rewilding,14.4±1.4,435±1.7,1.1±0.2,36.1±3.1,1068±189,29.5±3.5,7.7±1.4,352±50,0.6±0.07,57.5±10.5,1579±321,29.0±8.2,260±38,116±18,325±94,0.55±0.01,0.50±0.21
DOB,control,22.3±3.8,423±3.4,3.0±0.7,23.3±3.8,393±121,17.0±2.5,8.7±2.2,292±42,1.6±0.55,42.2±8.9,564±214,13.4±2.4,708±198,256±37,509±212,0.56±0.12,0.90±0.23
DOB,rewilding,24.7±2.1,423±6.0,3.1±0.4,20.3±1.5,365±52,18.3±3.6,10.5±2.4,333±38,1.6±0.36,40.6±14.4,553±90,15.5±5.5,821±109,227±50,399±56,0.71±0.06,0.79±0.33
HRK,control,20.1±2.0,425±5.0,2.5±0.4,25.2±2.0,455±83,18.3±2.9,9.7±2.1,395±17,1.3±0.41,53.2±13.1,936±303,17.9±4.4,508±84,148±29,393±81,0.70±0.03,0.48±0.22
HRK,rewilding,24.2±4.6,436±3.6,1.7±0.2,22.1±3.5,706±89,33.1±2.8,9.1±1.6,416±2,0.7±0.10,55.8±11.1,1765±218,33.0±4.7,213±57,75±6,393±13,0.63±0.09,0.20±0.03
