Site,Management,pH,fine particles (%),Soil dry weight,Water retention capacity  (% vol),soil C content (mg/g),soil N content (mg/g),soil P content (mg/g),Soil C/N ratio,Soil C/P ratio,Soil N/P ratio,"Dissolved org. C (DOC, mg/g)","Dissolved N (DN, mg/g)",Dissolved NH4-N (ng/g),Dissolved NO3-N (ng/g),Soluble reactive P (ng/g),Microbial C (mg/g),Microbial N (mg/g),Microbial C/N ratio,Net nitrification (ng NO3-N/g/day),Respiration rate (µmol C/ g/d)
JOS,control,6.74±0.04,73.7±20.7,0.809±0.017,44.9±0.7,34.2±1.0,3.33±0.34,0.37±0.02,12.1±0.9,237±17,19.8±2.8,85±7,14.5±0.5,688±16,1890±232,1796±545,523±113,114±8,5.29±0.79,734±49,2.82±0.10
JOS,rewilding,6.59±0.20,88.0±3.9,0.704±0.042,51.3±4.5,39.5±0.5,3.99±0.17,0.52±0.14,11.6±0.4,211±55,18.2±4.4,91±13,15.3±2.0,835±50,2529±597,532±193,786±257,151±19,5.96±1.47,911±273,3.31±0.48
HAV,control,5.94±0.14,45.9±2.0,0.850±0.015,37.9±5.9,21.6±3.6,1.93±0.30,0.37±0.04,13.0±0.4,155±33,11.9±2.4,102±18,18.1±3.4,1050±286,1075±379,1488±733,357±23,57±3,7.36±0.34,293±319,1.85±0.24
HAV,rewilding,5.26±0.08,37.4±10.9,0.847±0.013,35.4±3.8,27.8±10.4,2.06±0.73,0.28±0.04,15.6±0.6,255±75,16.2±4.2,199±38,29.2±5.2,878±57,1233±585,643±298,458±84,61±10,8.79±0.41,661±212,1.73±0.21
MAS,control,5.58±0.04,44.9±6.4,0.839±0.004,31.4±3.3,18.4±0.9,1.53±0.02,0.29±0.01,14.1±0.5,163±5,11.6±0.1,101±13,17.9±2.7,749±22,676±176,1085±100,374±21,59±4,7.40±0.05,73±55,2.30±0.08
MAS,rewilding,6.71±0.49,88.6±2.0,0.795±0.010,42.2±2.0,23.2±3.2,2.12±0.32,0.60±0.38,12.8±0.5,123±37,9.7±3.0,93±9,16.4±1.1,828±74,983±429,497±120,497±115,88±24,6.74±0.98,643±445,2.61±0.26
MBV,control,7.84±0.33,52.3±7.3,0.882±0.017,39.8±1.6,24.1±1.7,2.05±0.08,0.67±0.24,13.7±0.6,109±44,7.9±3.0,92±9,14.6±0.3,633±43,1790±644,499±116,609±60,108±10,6.58±0.46,452±293,3.86±2.18
MBV,rewilding,7.29±0.34,42.8±5.1,0.897±0.011,40.1±1.7,24.4±4.7,2.03±0.31,0.64±0.17,14.0±1.4,108±38,7.7±2.7,134±45,19.3±4.1,633±51,1557±618,979±428,566±177,101±29,6.50±0.29,490±109,3.10±0.68
MTR,control,7.86±0.30,47.7±1.5,0.887±0.023,34.9±3.8,19.4±4.0,1.63±0.30,0.70±0.51,13.8±0.5,106±49,7.7±3.7,91±8,14.3±1.0,598±55,1900±524,340±128,242±67,64±20,4.46±0.29,62±25,3.32±0.90
MTR,rewilding,8.06±0.09,42.5±7.0,0.877±0.026,36.8±2.9,25.3±5.9,2.13±0.49,0.22±0.02,13.8±0.2,306±91,22.1±6.4,101±9,12.2±1.2,649±148,968±197,333±217,346±44,93±9,4.34±0.39,135±92,4.62±0.99
DOB,control,6.56±0.27,69.7±9.2,0.812±0.021,38.8±4.4,23.0±9.8,1.84±0.80,0.90±0.41,14.8±1.4,79±36,5.1±1.8,107±38,13.6±4.1,951±248,1934±808,1110±744,426±209,61±28,8.06±0.75,1369±832,1.76±0.50
DOB,rewilding,6.53±0.19,77.2±13.1,0.799±0.029,39.1±3.5,24.6±8.8,1.87±0.56,0.98±0.49,15.2±1.1,82±56,5.3±3.2,79±19,12.0±3.0,1205±75,1761±872,768±301,542±159,86±21,7.31±0.48,1227±356,1.78±0.49
HRK,control,7.28±0.55,27.5±20.1,0.825±0.032,33.4±6.3,21.3±5.6,1.54±0.48,0.27±0.08,16.8±2.3,209±51,12.9±4.2,82±11,10.5±2.6,779±122,1722±677,949±590,312±108,65±22,5.68±0.92,308±162,2.89±1.59
HRK,rewilding,6.63±0.30,19.1±21.1,0.860±0.056,34.6±6.9,21.0±5.6,1.38±0.35,0.16±0.07,17.9±3.5,393±154,23.5±10.3,84±5,11.2±1.2,842±304,983±549,561±331,174±106,38±15,4.98±1.01,182±114,1.25±0.15
