Site,Type,Treatment,Season,day,Biomass
1,Short grassland,Ungrazed,Wet,1,55.46118845250953
1,Short grassland,Ungrazed,Wet,1,111.03589971099996
1,Short grassland,Ungrazed,Wet,1,55.46118845250953
1,Short grassland,Ungrazed,Wet,1,27.67383282326432
1,Short grassland,Grazed,Wet,1,27.67383282326432
1,Short grassland,Grazed,Wet,1,83.24854408175474
1,Short grassland,Grazed,Wet,1,27.67383282326432
1,Short grassland,Grazed,Wet,1,111.03589971099996
1,Medium-tall grassland,Ungrazed,Wet,1,277.7600334864708
1,Medium-tall grassland,Ungrazed,Wet,1,416.6968116326966
1,Medium-tall grassland,Ungrazed,Wet,1,333.3347447449612
1,Medium-tall grassland,Ungrazed,Wet,1,305.547389115716
1,Medium-tall grassland,Grazed,Wet,1,333.3347447449612
1,Medium-tall grassland,Grazed,Wet,1,444.4841672619418
1,Medium-tall grassland,Grazed,Wet,1,638.9956566666579
1,Medium-tall grassland,Grazed,Wet,1,388.9094560034514
1,Tall grassland,Ungrazed,Wet,1,1639.3404593194837
1,Tall grassland,Ungrazed,Wet,1,2139.5128606458966
1,Tall grassland,Ungrazed,Wet,1,2750.83468448929
1,Tall grassland,Ungrazed,Wet,1,805.7197904421287
1,Tall grassland,Grazed,Wet,1,2083.938149387406
1,Tall grassland,Grazed,Wet,1,2195.0875719043866
1,Tall grassland,Grazed,Wet,1,750.1450791836385
1,Tall grassland,Grazed,Wet,1,2528.5358394553286
2,Short grassland,Ungrazed,Wet,1,27.67383282326432
2,Short grassland,Ungrazed,Wet,1,27.67383282326432
2,Short grassland,Ungrazed,Wet,1,27.67383282326432
2,Short grassland,Ungrazed,Wet,1,27.67383282326432
2,Short grassland,Grazed,Wet,1,-0.11352280598089237
2,Short grassland,Grazed,Wet,1,-27.900878435225877
2,Short grassland,Grazed,Wet,1,-0.11352280598089237
2,Short grassland,Grazed,Wet,1,27.67383282326432
2,Medium-tall grassland,Ungrazed,Wet,1,222.18532222798058
2,Medium-tall grassland,Ungrazed,Wet,1,527.8462341496772
2,Medium-tall grassland,Ungrazed,Wet,1,583.4209454081677
2,Medium-tall grassland,Ungrazed,Wet,1,222.18532222798058
2,Medium-tall grassland,Grazed,Wet,1,277.7600334864708
2,Medium-tall grassland,Grazed,Wet,1,333.3347447449612
2,Medium-tall grassland,Grazed,Wet,1,305.547389115716
2,Medium-tall grassland,Grazed,Wet,1,194.39796659873537
2,Tall grassland,Ungrazed,Wet,1,1806.0645930949545
2,Tall grassland,Ungrazed,Wet,1,2556.323195084574
2,Tall grassland,Ungrazed,Wet,1,638.9956566666579
2,Tall grassland,Ungrazed,Wet,1,1444.8289699147676
2,Tall grassland,Grazed,Wet,1,4334.713955356264
2,Tall grassland,Grazed,Wet,1,1945.0013712411805
2,Tall grassland,Grazed,Wet,1,2083.938149387406
2,Tall grassland,Grazed,Wet,1,3223.219730186458
3,Short grassland,Ungrazed,Wet,1,27.67383282326432
3,Short grassland,Ungrazed,Wet,1,27.67383282326432
3,Short grassland,Ungrazed,Wet,1,-0.11352280598089237
3,Short grassland,Ungrazed,Wet,1,27.67383282326432
3,Short grassland,Grazed,Wet,1,27.67383282326432
3,Short grassland,Grazed,Wet,1,-0.11352280598089237
3,Short grassland,Grazed,Wet,1,-0.11352280598089237
3,Short grassland,Grazed,Wet,1,-0.11352280598089237
3,Medium-tall grassland,Ungrazed,Wet,1,55.46118845250953
3,Medium-tall grassland,Ungrazed,Wet,1,83.24854408175474
3,Medium-tall grassland,Ungrazed,Wet,1,55.46118845250953
3,Medium-tall grassland,Ungrazed,Wet,1,111.03589971099996
3,Medium-tall grassland,Grazed,Wet,1,83.24854408175474
3,Medium-tall grassland,Grazed,Wet,1,111.03589971099996
3,Medium-tall grassland,Grazed,Wet,1,83.24854408175474
3,Medium-tall grassland,Grazed,Wet,1,55.46118845250953
3,Tall grassland,Ungrazed,Wet,1,249.97267785722556
3,Tall grassland,Ungrazed,Wet,1,305.547389115716
3,Tall grassland,Ungrazed,Wet,1,527.8462341496772
3,Tall grassland,Ungrazed,Wet,1,416.6968116326966
3,Tall grassland,Grazed,Wet,1,472.2715228911868
3,Tall grassland,Grazed,Wet,1,527.8462341496772
3,Tall grassland,Grazed,Wet,1,388.9094560034514
3,Tall grassland,Grazed,Wet,1,305.547389115716
4,Short grassland,Ungrazed,Wet,1,83.24854408175474
4,Short grassland,Ungrazed,Wet,1,55.46118845250953
