Site,Type,Treatment,Season,Day,Species
1,Short grassland,Ungrazed,Wet,1,Steinchisma laxum
1,Short grassland,Ungrazed,Wet,1,Cyperus virens
1,Short grassland,Ungrazed,Wet,1,Luziola peruviana
1,Short grassland,Grazed,Wet,1,Ludwigia peploides
1,Short grassland,Grazed,Wet,1,Luziola peruviana
1,Short grassland,Grazed,Wet,1,Cyperus virens
1,Short grassland,Grazed,Wet,1,Axonopus fissifolius
1,Short grassland,Grazed,Wet,1,Paspalum almum
1,Medium-tall grassland,Ungrazed,Wet,1,Fimbristylis dichotoma
1,Medium-tall grassland,Ungrazed,Wet,1,Oxalis hispidula
1,Medium-tall grassland,Ungrazed,Wet,1,Eragrostis bahiensis
1,Medium-tall grassland,Ungrazed,Wet,1,Setaria parviflora
1,Medium-tall grassland,Ungrazed,Wet,1,Paspalum almum
1,Medium-tall grassland,Ungrazed,Wet,1,Axonopus fissifolius
1,Medium-tall grassland,Ungrazed,Wet,1,Paspalum notatum
1,Medium-tall grassland,Ungrazed,Wet,1,Nothoscordum inodorum
1,Medium-tall grassland,Ungrazed,Wet,1,Ciperacea 3
1,Medium-tall grassland,Grazed,Wet,1,Axonopus fissifolius
1,Medium-tall grassland,Grazed,Wet,1,Paspalum almum
1,Medium-tall grassland,Grazed,Wet,1,Vernonia incana
1,Medium-tall grassland,Grazed,Wet,1,Oxalis conorrhiza
1,Medium-tall grassland,Grazed,Wet,1,Eragrostis bahiensis
1,Medium-tall grassland,Grazed,Wet,1,Ludwigia peploides
1,Medium-tall grassland,Grazed,Wet,1,Hypoxis decumbens
1,Medium-tall grassland,Grazed,Wet,1,Steinchisma laxum
1,Medium-tall grassland,Grazed,Wet,1,Luziola peruviana
1,Tall grassland,Ungrazed,Wet,1,Sorghastrum setosum
1,Tall grassland,Ungrazed,Wet,1,Rhynchospora tenuis
1,Tall grassland,Grazed,Wet,1,Sorghastrum setosum
1,Tall grassland,Grazed,Wet,1,Sida spinosa
1,Tall grassland,Grazed,Wet,1,Chromolaena laevigata
1,Tall grassland,Grazed,Wet,1,Schizachyrium microstachyum
1,Tall grassland,Grazed,Wet,1,Oxalis sp.
1,Tall grassland,Grazed,Wet,1,Setaria parviflora
1,Tall grassland,Grazed,Wet,1,Rhynchospora tenuis
2,Short grassland,Ungrazed,Wet,1,Steinchisma laxum
2,Short grassland,Ungrazed,Wet,1,Paspalum almum
2,Short grassland,Ungrazed,Wet,1,Oxalis conorrhiza
2,Short grassland,Ungrazed,Wet,1,Eleocharis viridans
2,Short grassland,Ungrazed,Wet,1,Cyperus aggregatus
2,Short grassland,Grazed,Wet,1,Steinchisma laxum
2,Short grassland,Grazed,Wet,1,Eleocharis viridans
2,Short grassland,Grazed,Wet,1,Paspalum almum
2,Short grassland,Grazed,Wet,1,Hymenachne amplexicaulis
2,Short grassland,Grazed,Wet,1,Oxalis conorrhiza
2,Medium-tall grassland,Ungrazed,Wet,1,Setaria parviflora
2,Medium-tall grassland,Ungrazed,Wet,1,Paspalum dilatatum
2,Medium-tall grassland,Ungrazed,Wet,1,Oxalis hispidula
2,Medium-tall grassland,Ungrazed,Wet,1,Steinchisma laxum
2,Medium-tall grassland,Ungrazed,Wet,1,Nothoscordum inodorum
2,Medium-tall grassland,Grazed,Wet,1,Oxalis hispidula
2,Medium-tall grassland,Grazed,Wet,1,Setaria parviflora
2,Medium-tall grassland,Grazed,Wet,1,Steinchisma laxum
2,Medium-tall grassland,Grazed,Wet,1,Paspalum almum
2,Medium-tall grassland,Grazed,Wet,1,Nothoscordum inodorum
2,Medium-tall grassland,Grazed,Wet,1,Scoparia montevidensis
2,Medium-tall grassland,Grazed,Wet,1,Desmanthus virgatus
2,Medium-tall grassland,Grazed,Wet,1,Axonopus fissifolius
2,Tall grassland,Ungrazed,Wet,1,Setaria parviflora
2,Tall grassland,Ungrazed,Wet,1,Sorghastrum setosum
2,Tall grassland,Ungrazed,Wet,1,Oxalis hispidula
2,Tall grassland,Ungrazed,Wet,1,Andropogon lateralis
2,Tall grassland,Ungrazed,Wet,1,Scutellaria racemosa
2,Tall grassland,Ungrazed,Wet,1,Evolvulus sericeus
2,Tall grassland,Ungrazed,Wet,1,Fimbristylis dichotoma
2,Tall grassland,Grazed,Wet,1,Andropogon lateralis
2,Tall grassland,Grazed,Wet,1,Sorghastrum setosum
2,Tall grassland,Grazed,Wet,1,Oxalis hispidula
2,Tall grassland,Grazed,Wet,1,Scutellaria racemosa
3,Short grassland,Ungrazed,Wet,1,Paspalum almum
3,Short grassland,Ungrazed,Wet,1,Eragrostis airoides
3,Short grassland,Ungrazed,Wet,1,Oxalis hispidula
3,Short grassland,Ungrazed,Wet,1,Sida spinosa
3,Short grassland,Ungrazed,Wet,1,Steinchisma laxum
3,Short grassland,Ungrazed,Wet,1,Fimbristylis dichotoma
3,Short grassland,Ungrazed,Wet,1,Cyperus virens
3,Short grassland,Ungrazed,Wet,1,Richardia stellaris
3,Short grassland,Ungrazed,Wet,1,Oxalis bipartita
3,Short grassland,Ungrazed,Wet,1,Evolvulus sericeus
3,Short grassland,Ungrazed,Wet,1,Eragrostis bahiensis
3,Short grassland,Ungrazed,Wet,1,Glandularia pulchella
