block,plot,treatment,Litterc,Deadc,AstPilc,PoaPrac,AndGerc,TarOffc,TriRepc,TriPrac,OxaEurc,BroInec,SolCanc,MonFitc,CirArvc,LesCapc,DauCarc,ChaFasc,VioPedc,SilLacc,PasSatc,LacSpc,BidSpc,AmbArtc,SchScoc,RatPinc,SolGigc,SetGlac,PhaAruc,CarSpc,EchPalc,ElyCanc,SilIntc,SolRigc,OenBiec,SorNutc,HelGroc,MuhSpc,HelRigc,GauBiec,VerStrc,MtMintc,MelAlbc,VerGigc,LacLudc,PlaMajc,PlaLanc,DacGloc,PhlePrac,AchMilc,LotCorc,Litter1,Dead1,AstPil1,PoaPra1,AndGer1,TarOff1,TriRep1,TriPra1,OxaEur1,BroIne1,SolCan1,MonFit1,CirArv1,LesCap1,DauCar1,ChaFas1,VioPed1,SilLac1,PasSat1,LacSp1,BidSp1,AmbArt1,SchSco1,RatPin1,SolGig1,SetGla1,PhaAru1,CarSp1,EchPal1,ElyCan1,SilInt1,SolRig1,OenBie1,SorNut1,HelGro1,MuhSp1,HelRig1,GauBie1,VerStr1,MtMint1,MelAlb1,VerGig1,LacLud1,PlaMaj1,PlaLan1,DacGlo1,PhlePra1,AchMil1,LotCor1,Litter2,Dead2,AstPil2,PoaPra2,AndGer2,TarOff2,TriRep2,TriPra2,OxaEur2,BroIne2,SolCan2,MonFit2,CirArv2,LesCap2,DauCar2,ChaFas2,VioPed2,SilLac2,PasSat2,LacSp2,BidSp2,AmbArt2,SchSco2,RatPin2,SolGig2,SetGla2,PhaAru2,CarSp2,EchPal2,ElyCan2,SilInt2,SolRig2,OenBie2,SorNut2,HelGro2,MuhSp2,HelRig2,GauBie2,VerStr2,MtMint2,MelAlb2,VerGig2,LacLud2,PlaMaj2,PlaLan2,DacGlo2,PhlePra2,AchMil2,LotCor2,grazed,mixc,mix1,mix2,enhance1,enhance2
14,L,C,146,15.4,18.4,6.7,76,0.0194,0.0085,0.0204,0.0228,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.9,3,0.4526,67.7,0,0,0,0.0267,23.4,0,0,1.5,0.7081,6.9,0,0,0,0,0,0,0,0,0,0.0768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.6,5.2,0,69,0,0,0,0.0324,0,20.8,0.1726,0.0706,25.9,10.7,0.1912,0.0398,1.0322,0.0195,0.1856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grazed,1,1.7081,28.296,0.5353816417,3.3427204519
14,C,C,218.4,26.5,4.9,0,129.1,0.0265,0,0.2124,0,0,38.3,2.1,0.0485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.7,14.2,0,105.4,0,0,0.0209,0,0,0,17.4,0,0.8,0,0,0,0,0,0.2,0.5,0,0,0,0,0.0203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.9,0.4017,0,182.3,0,0,0,0,0,0,0.0183,0,0,0,0,0,0,0,0.0414,0.1885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nongra,3.1,19.2,1.0183,1.8235081675,-1.113267541
14,R,C,58.3,26.4,10,0.1617,3.1,0.0332,0,0.0587,0,0,29.3,3.3,0.0849,0,18.5,0,0,0,0,0,0,1.3826,41,0.0708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.6,5.3,0.3513,104.5,0,0,0.4043,0.0589,0.0869,8.9,0.1553,1.9,0,0.4545,0,0,0,0,0,0.3124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.4,8.7,8.7,62.2,0,0,0.1066,0,0,0,0,0,12.2,10,0.1147,0,0,0,0,0.4166,0,0,0,0,0,5.9,0.3186,0.1158,1.1392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grazed,4.3708,1.1553,13.4305,-1.330586008,1.1225821812
33,L,C,68,34,0.1154,0,46,0,0,0,0,0,6.6,13.3,0.1774,0,2.3318,0,0,0,0,0,0.0476,0.8971,0,0,0,0,0,0,0,0.0803,2.8,8,0.2907,40.7,27.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.5,0.9197,0.0509,31.1,3.4499,0,0,0,9.5,0,0.1109,0,0.3048,0.3438,0.9862,0,0,0,0,0,0.0452,0,0,0,0,0,0.7028,0,1.1,0.5298,0,0.2931,38,51.4,0,0.3796,0,0,0,0,0,0,0,0,0,0,0,0,0,29.6,6.3,8.3,38.3,0.0253,0,6.3,0,5.5,0,0.5826,0,1.3,4.5,0.8004,0.0091,0.1212,0,0,0,0,0,0,0,0,0,0,0,0.0195,3.7,0,0,38.6,1.3,0,0.2274,0,0,0,0,0,0,0,0,0,0,0,0,grazed,14.3,2.4019,3.8042,-1.783999446,-1.324153818
33,C,C,386.2,41.9,0,0,134.8,0,0,0,0,0,9.8,14,0.1586,0,1.5,0.1149,0,0,0,0,0,0,0,0.2584,0,0,0,0.2162,0,0,27.6,1.6,0.1505,30.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.8,0,0,159.1,0,0,0,0,0,8.6,0.24,0,0,0.0794,0.9,0,0,0,0,0,0.0771,0,0,0,0,0,0,0,0,0,0,0,4.1,29,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0.0532,0,30.5,0,0,0,0,0,0,2.1,0,0,0.032,0.9009,0,0,0.1125,0,0,0,0,0,0,0,0,0,0,0,0,28.7,0,24.6,42.9,0.3968,0,0,0,0,0,0,0,0,0,0,0,0,0,nongra,15.3733,2.14,4.0009,-1.971826409,-1.346112903
33,R,C,73.5,24.9,1.3998,0,28.7,0.0504,0,0,0,0.681,0,3.1,0,0,0,3,0,0,0,0,0,0.4088,0,0,0,0,0,0,0,0.0335,0.0619,0,0,52.9,2.1014,0.189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.5,7.2,0,72.5,0.0098,0,0,0,0,0,0.5942,0,0,0.4184,0.4628,0,0,0,0,0,0.0267,0,3.8,0,0,0,0,0,1.1,0,9.4,0,62.1,2.2,0,0.0316,2.5106,0,0,0,0,0,0,0,0,0,0,0,0,10.2,8.5,0,28.2,0,0,0,0,0,12.4,7.5,0,0.9,1.8,0.9179,0,0,0,0,0,0.3907,0,0.41,0,0.01,0,0,0,0.0504,0,1.36,0,15,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grazed,7.1,5.857,10.7279,-0.192457257,0.4127530405
34,L,C,92.5,59.3,0,0.0919,40.2,0.0311,0.11,0,0,0,14.2,4.21,0,0,5.5,0.2,0,0,0,0,0,0,0,0.57,0,0,0,0,0,2.1,1.3,0.91,0,35.7,1.4,0,0,0,0,0,0,17.2,0,0,0,0,0,0,0,0,50.3,0,0,78.1,0,0.0132,9.1,0,0,13.8,0.1609,0,0,0.0139,0.0566,0,0,0,0.0513,0,0.5,0,0,0,0,0,1.2,0,8.3,0.9,0,0,1.8,46.9,0,0,0,0,0,0,0,0,1.7787,0,0,0,0,0,0,8.2,0.95,0,40.5,0.0172,0,0,0,0,5.7,1.0307,0,5.1,0,0.0139,0,0.0902,0,0,0,0,0,0,0,0,0,0,0,2.6,1.5,0,0,11.4,0.469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grazed,5.98,1.2175,7.2348,-1.591620992,0.1904821483
34,C,C,118.5,119.9,4.8,3.5,84.7,0.03,0,0,0,0,29.5,2.6,0,0,0.9,1,0,0,0,0,0,0,0,0.0413,0,0,0,0,0,0.0168,0,2.9,0,32.5,8.3,0,0,1.3656,0,0,0.3,0,0,0,0,0,0,0,0,0,103.2,0,0,7.9,0.0701,0,0,0,0,8.7,5.3,1.3,0,0.4548,0.5721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309.4,0,0,0,0,1.8096,0,0,0,0,0.0543,0,0,0,0,0,0,0,0,0,138.8,2.2414,0,66.2,0.018,0,0,0,0,19.4,0.4,0,0.0645,6,0.0056,0,0,0,0,0,0,0,0,0,0,0,0.3373,0,0.79,166.8,3.7,0,9.2,22.2,0.3384,0,0,0,0,0.1087,0,0,0,0,0,0,0,0,nongra,4.6413,6.8721,1.4701,0.392475237,-1.149664074
34,R,C,52.7,35.3,3.6432,0.1436,31.4,0,0.1384,5,0,0,0,8.4,0,0,7.9,0.1693,0,0,0,0,0,0.0014,0,0.0411,0,0,0,0,0,4.2,0,0,0,1.6,0,0,29,0,0,0,0,0,0,0,0.2501,0,0,0,0,0,86.2,0,1.94,26.2,0,0,0.0423,0,0,12.6,0.8774,0,4.9,5.3,0.01,0,0,0,0,0,0,0,1,0,0,0,0.46,0,0,0.2159,0,0,20.3,18.7,0,0,0,0,0,0,0,0.0378,0,0,0,0,0,0,0,84.3,2.1208,0.0131,16.3,0.02,0,0.13,0,43.1,41,7,0,0.05,2.2,0.095,0,0,0,0,0,0.5426,0,0,0,0,0,0,0,0.2,0.4,0,0,10.6,9.2,0,0,0,0.01,4.5,0,0,0,0,0,0,0,0,0,grazed,9.6104,7.7874,12.645,-0.210338802,0.2744160347
38,L,C,84.6,21.3,0,20.6,63.7,0,0,1,0,9.8,12.9,0,0,0,0.1167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.7,2.1,9.7,61.6,0,0,0.0142,0,10.5,0,0,0,0,0.0112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.3,0,17.6,53.4,0,0,0.9,0,0,0,0,0,2.6,0.0223,0.3801,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,21.6,0,0,0,0,0,0,0,0,0,0,0,0,3.4,0,0,grazed,1,1,3.9801,0,1.3813069446
