block,plot,treatment,D,Div,S,EI,SI,DI,E,lS,lSI,deltaE,deltaS,deltaD,grazed,rep
14,L,C,0.513355875,1.947966409,8,0.13021,10,1.30207,0.2434958011,2.0794415417,2.302585093,0.8700238163,-0.2,0.4960535217,grazed,1
14,R,C,0.262437714,3.810427944,12,0.1479,7,1.03527,0.317535662,2.4849066498,1.9459101491,1.1469618796,0.7142857143,2.6806127329,grazed,2
33,L,C,0.217907973,4.58909322,14,0.25576,9,2.30184,0.3277923729,2.6390573296,2.1972245773,0.2816404944,0.5555555556,0.9936629913,grazed,1
33,R,C,0.425169638,2.35200238,12,0.24792,8,1.98334,0.1960001983,2.4849066498,2.0794415417,-0.209421594,0.5,0.1858795668,grazed,2
34,L,C,0.225071727,4.443028071,15,0.37293,7,2.6105,0.2962018714,2.7080502011,1.9459101491,-0.20574405,1.1428571429,0.7019835553,grazed,1
34,R,C,0.239071232,4.182853752,14,0.26531,7,1.85715,0.298775268,2.6390573296,1.9459101491,0.1261364743,1,1.2522972038,grazed,2
38,L,C,0.403545311,2.478036472,7,0.60673,5,3.03367,0.3540052103,1.9459101491,1.6094379124,-0.416535839,0.4,-0.18315556,grazed,1
38,R,C,0.659234018,1.516912011,10,0.19255,8,1.54044,0.1516912011,2.302585093,2.0794415417,-0.212198384,0.25,-0.015273551,grazed,2
39,L,C,0.801129632,1.248237438,4,0.10472,10,1.04724,0.3120593595,1.3862943611,2.302585093,1.9799404078,-0.6,0.1919306348,grazed,1
39,R,C,0.343954637,2.90736014,11,0.25588,6,1.5353,0.2643054673,2.3978952728,1.7917594692,0.0329274163,0.8333333333,0.8936755943,grazed,2
48,L,C,0.901235521,1.109587868,7,0.32143,7,2.25002,0.1585125526,1.9459101491,1.9459101491,-0.506852028,0,-0.50685422,grazed,1
48,R,C,0.517427198,1.932639033,9,0.34032,5,1.7016,0.2147376703,2.1972245773,1.6094379124,-0.369012487,0.8,0.1357775229,grazed,2
49,L,C,0.847188951,1.180374223,8,0.37586,7,1.12759,0.1475467779,2.0794415417,1.9459101491,-0.607442192,0.1428571429,0.0468115388,grazed,1
49,R,C,0.456501567,2.190572982,10,0.37409,5,1.49638,0.2190572982,2.302585093,1.6094379124,-0.414426212,1,0.4639149026,grazed,2
14,L,S1,0.482067282,2.074399232,10,0.13021,10,1.30207,0.2074399232,2.302585093,2.302585093,0.5931182183,0,0.5931549241,grazed,1
14,R,S1,0.736063941,1.358577623,11,0.1479,7,1.03527,0.1235070566,2.3978952728,1.9459101491,-0.164928623,0.5714285714,0.3122930472,grazed,2
33,L,S1,0.266214634,3.756367506,17,0.25576,9,2.30184,0.2209627945,2.8332133441,2.1972245773,-0.136054135,0.8888888889,0.6318977453,grazed,1
