data_point_id,citation,title,doi,herbivore_type,study_notes,data_notes,design_notes,land_use_history_notes,management_notes,experimental_mechanism,experiment_timing,site_size_ha,site_number,treatment_size_m2,treatment_number,plot_size_m2,plot_number,subplot_size_m2,subplot_number,final_measure_scale,continent,latitude,longitude,coord_quality,site_name,introduced_herbivores,herbivore_manipulation_notes,density_notes,density_high_megafauna,density_low_megafauna,animal_density_units,areal_density_units,years_since_introduction,years_since_treatment,treatment_duration_days,time_series_clean,data_year,impact_mechanism,response_highest_level,response_sphere,species_class,species_level,species_or_group,response,unit,mean_type,error_type,fig_num,fig_notes,raw_mean_high_megafauna,error_high_megafauna,n_high_megafauna,raw_mean_low_megafauna,error_low_megafauna,n_low_megafauna,plot_covariate,digitization_notes,initially_entered_by,eco_response,total_biomass_kg_ha,cwm_mass_kg,max_species_mass_kg,metabolic_biomass_ha,vi_rom,yi_rom,vi_smd,yi_smd,vi_smdh,yi_smdh,n_citations
dp_1,Noble et al 2025 Ecological Applications,Native megafauna (Bison bison) act as a surprising inhibitor of cedar tree expansion in a Great Plains grassland,https://doi.org/10.1002/eap.70108,Semi-Domestic,"Bison introduced 1920 to current range, herd size of 270 adults with goal of grating ~25 % aboveground production each year","most data not usable, some sspeces richness and soil metrics n supplement","Paired with burning, but both control and treatment standardized","This study took place at Konza Prairie Biological Station (KPBS), a 3487-ha native tallgrass prairie located in northeastern Kansas, USA (39°05′ N, 96°35′ W). KPBS is a National Science Foundation long-term ecological research (LTER) in the Flint Hills ecoregion of the Central Great Plains, the largest expanse of unplowed tallgrass prairie in North America",Population size likely artifically managed,distal comparison with and without,with_introduction,1012,1,10120000,1,10,40 per treatment and catchment type,,"",plot,North America,39.08339354,-96.5832714,reasonable,Konza Prairie Biological Station,Bison bison,"In 1987, 30 bison were introduced and restricted to under half of their current spatial extent, including catchment N20A. In 1992, the bison herd was given access to its current 1012 ha area, including catchment N20B. The herd increased to an average of 270 adults with the goal of a grazing rate of ~25% removal of aboveground production each year",likely kept artifically constant,0.26 Bison bison,0,individuals,hectare,2,,730,1,1994,cumulative,diversity,vegetation,plants,higher_level,all plants,species richness,number of species,mean,SD,Fig_S2,Fig S2A,27.06,4.1,40,23.5,2.78,40,lowland,"",JT,plant_richness,150.606378,579.2553,579.2553,30.6991153067535,0.000923780693473273,0.141056201592529,0.0563319849659694,1.00653742829321,0.0586659390013989,1.00653742829321,18
dp_2,Noble et al 2025 Ecological Applications,Native megafauna (Bison bison) act as a surprising inhibitor of cedar tree expansion in a Great Plains grassland,https://doi.org/10.1002/eap.70108,Semi-Domestic,"Bison introduced 1920 to current range, herd size of 270 adults with goal of grating ~25 % aboveground production each year","most data not usable, some sspeces richness and soil metrics n supplement","Paired with burning, but both control and treatment standardized","This study took place at Konza Prairie Biological Station (KPBS), a 3487-ha native tallgrass prairie located in northeastern Kansas, USA (39°05′ N, 96°35′ W). KPBS is a National Science Foundation long-term ecological research (LTER) in the Flint Hills ecoregion of the Central Great Plains, the largest expanse of unplowed tallgrass prairie in North America",Population size likely artifically managed,distal comparison with and without,with_introduction,1012,1,10120000,1,10,40 per treatment and catchment type,,"",plot,North America,39.08339354,-96.5832714,reasonable,Konza Prairie Biological Station,Bison bison,"In 1987, 30 bison were introduced and restricted to under half of their current spatial extent, including catchment N20A. In 1992, the bison herd was given access to its current 1012 ha area, including catchment N20B. The herd increased to an average of 270 adults with the goal of a grazing rate of ~25% removal of aboveground production each year",likely kept artifically constant,0.26 Bison bison,0,individuals,hectare,2,,730,1,1994,cumulative,diversity,vegetation,plants,higher_level,all plants,species richness,number of species,mean,SD,Fig_S2,Fig S2A,22.86,5.07,40,21.78,2.51,40,upland,"",JT,plant_richness,150.606378,579.2553,579.2553,30.6991153067535,0.00156173788150349,0.04839654086185,0.0504468027116117,0.26737321080818,0.0519087693357299,0.26737321080818,18
dp_3,Noble et al 2025 Ecological Applications,Native megafauna (Bison bison) act as a surprising inhibitor of cedar tree expansion in a Great Plains grassland,https://doi.org/10.1002/eap.70108,Semi-Domestic,"Bison introduced 1920 to current range, herd size of 270 adults with goal of grating ~25 % aboveground production each year","most data not usable, some sspeces richness and soil metrics n supplement","Paired with burning, but both control and treatment standardized","This study took place at Konza Prairie Biological Station (KPBS), a 3487-ha native tallgrass prairie located in northeastern Kansas, USA (39°05′ N, 96°35′ W). KPBS is a National Science Foundation long-term ecological research (LTER) in the Flint Hills ecoregion of the Central Great Plains, the largest expanse of unplowed tallgrass prairie in North America",Population size likely artifically managed,distal comparison with and without,with_introduction,1012,1,10120000,1,10,40 per treatment and catchment type,,"",plot,North America,39.08339354,-96.5832714,reasonable,Konza Prairie Biological Station,Bison bison,"In 1987, 30 bison were introduced and restricted to under half of their current spatial extent, including catchment N20A. In 1992, the bison herd was given access to its current 1012 ha area, including catchment N20B. The herd increased to an average of 270 adults with the goal of a grazing rate of ~25% removal of aboveground production each year",likely kept artifically constant,0.26 Bison bison,0,individuals,hectare,28,,10220,2,2020,cumulative,diversity,vegetation,plants,higher_level,all plants,species richness,number of species,mean,SD,Fig_S2,Fig S2A,36.74,4.78,40,26.23,3.99,40,lowland,"",JT,plant_richness,150.606378,579.2553,579.2553,30.6991153067535,0.00100165371851385,0.336962285908197,0.0849311235488629,2.36410231754424,0.0882530482725226,2.36410231754424,18
dp_4,Noble et al 2025 Ecological Applications,Native megafauna (Bison bison) act as a surprising inhibitor of cedar tree expansion in a Great Plains grassland,https://doi.org/10.1002/eap.70108,Semi-Domestic,"Bison introduced 1920 to current range, herd size of 270 adults with goal of grating ~25 % aboveground production each year","most data not usable, some sspeces richness and soil metrics n supplement","Paired with burning, but both control and treatment standardized","This study took place at Konza Prairie Biological Station (KPBS), a 3487-ha native tallgrass prairie located in northeastern Kansas, USA (39°05′ N, 96°35′ W). KPBS is a National Science Foundation long-term ecological research (LTER) in the Flint Hills ecoregion of the Central Great Plains, the largest expanse of unplowed tallgrass prairie in North America",Population size likely artifically managed,distal comparison with and without,with_introduction,1012,1,10120000,1,10,40 per treatment and catchment type,,"",plot,North America,39.08339354,-96.5832714,reasonable,Konza Prairie Biological Station,Bison bison,"In 1987, 30 bison were introduced and restricted to under half of their current spatial extent, including catchment N20A. In 1992, the bison herd was given access to its current 1012 ha area, including catchment N20B. The herd increased to an average of 270 adults with the goal of a grazing rate of ~25% removal of aboveground production each year",likely kept artifically constant,0.26 Bison bison,0,individuals,hectare,28,,10220,2,2020,cumulative,diversity,vegetation,plants,higher_level,all plants,species richness,number of species,mean,SD,Fig_S2,Fig S2A,51.81,4.3,40,26.12,4.57,40,upland,"",JT,plant_richness,150.606378,579.2553,579.2553,30.6991153067535,0.000937496621708528,0.684881876418467,0.255491974626365,5.73399650681952,0.262822748306078,5.73399650681952,18
dp_5,Noble et al 2025 Ecological Applications,Native megafauna (Bison bison) act as a surprising inhibitor of cedar tree expansion in a Great Plains grassland,https://doi.org/10.1002/eap.70108,Semi-Domestic,"Bison introduced 1920 to current range, herd size of 270 adults with goal of grating ~25 % aboveground production each year","most data not usable, some sspeces richness and soil metrics n supplement","Paired with burning, but both control and treatment standardized","This study took place at Konza Prairie Biological Station (KPBS), a 3487-ha native tallgrass prairie located in northeastern Kansas, USA (39°05′ N, 96°35′ W). KPBS is a National Science Foundation long-term ecological research (LTER) in the Flint Hills ecoregion of the Central Great Plains, the largest expanse of unplowed tallgrass prairie in North America",Population size likely artifically managed,distal comparison with and without,with_introduction,1012,1,10120000,1,10,40 per treatment and catchment type,,"",plot,North America,39.08339354,-96.5832714,reasonable,Konza Prairie Biological Station,Bison bison,"In 1987, 30 bison were introduced and restricted to under half of their current spatial extent, including catchment N20A. In 1992, the bison herd was given access to its current 1012 ha area, including catchment N20B. The herd increased to an average of 270 adults with the goal of a grazing rate of ~25% removal of aboveground production each year",likely kept artifically constant,0.26 Bison bison,0,individuals,hectare,2,,730,1,1994,cumulative,diversity,vegetation,plants,higher_level,all plants,evenness,"",mean,SD,Fig_S2,Fig S2B,0.6885185,0.06699045,40,0.7244444,0.05230772,40,lowland,"",JT,plant_evenness,150.606378,579.2553,579.2553,30.6991153067535,0.000367000415965737,-0.0508628284198045,0.0521904565388531,-0.592007640336257,0.0536607657111449,-0.592007640336257,4
dp_6,Noble et al 2025 Ecological Applications,Native megafauna (Bison bison) act as a surprising inhibitor of cedar tree expansion in a Great Plains grassland,https://doi.org/10.1002/eap.70108,Semi-Domestic,"Bison introduced 1920 to current range, herd size of 270 adults with goal of grating ~25 % aboveground production each year","most data not usable, some sspeces richness and soil metrics n supplement","Paired with burning, but both control and treatment standardized","This study took place at Konza Prairie Biological Station (KPBS), a 3487-ha native tallgrass prairie located in northeastern Kansas, USA (39°05′ N, 96°35′ W). KPBS is a National Science Foundation long-term ecological research (LTER) in the Flint Hills ecoregion of the Central Great Plains, the largest expanse of unplowed tallgrass prairie in North America",Population size likely artifically managed,distal comparison with and without,with_introduction,1012,1,10120000,1,10,40 per treatment and catchment type,,"",plot,North America,39.08339354,-96.5832714,reasonable,Konza Prairie Biological Station,Bison bison,"In 1987, 30 bison were introduced and restricted to under half of their current spatial extent, including catchment N20A. In 1992, the bison herd was given access to its current 1012 ha area, including catchment N20B. The herd increased to an average of 270 adults with the goal of a grazing rate of ~25% removal of aboveground production each year",likely kept artifically constant,0.26 Bison bison,0,individuals,hectare,2,,730,1,1994,cumulative,diversity,vegetation,plants,higher_level,all plants,evenness,"",mean,SD,Fig_S2,Fig S2B,0.6840741,0.09530517,40,0.6744444,0.07868765,40,upland,"",JT,plant_evenness,150.606378,579.2553,579.2553,30.6991153067535,0.000825550359101892,0.0141770042687878,0.0500744278521829,0.109125873876278,0.0513611226434527,0.109125873876278,4
dp_7,Noble et al 2025 Ecological Applications,Native megafauna (Bison bison) act as a surprising inhibitor of cedar tree expansion in a Great Plains grassland,https://doi.org/10.1002/eap.70108,Semi-Domestic,"Bison introduced 1920 to current range, herd size of 270 adults with goal of grating ~25 % aboveground production each year","most data not usable, some sspeces richness and soil metrics n supplement","Paired with burning, but both control and treatment standardized","This study took place at Konza Prairie Biological Station (KPBS), a 3487-ha native tallgrass prairie located in northeastern Kansas, USA (39°05′ N, 96°35′ W). KPBS is a National Science Foundation long-term ecological research (LTER) in the Flint Hills ecoregion of the Central Great Plains, the largest expanse of unplowed tallgrass prairie in North America",Population size likely artifically managed,distal comparison with and without,with_introduction,1012,1,10120000,1,10,40 per treatment and catchment type,,"",plot,North America,39.08339354,-96.5832714,reasonable,Konza Prairie Biological Station,Bison bison,"In 1987, 30 bison were introduced and restricted to under half of their current spatial extent, including catchment N20A. In 1992, the bison herd was given access to its current 1012 ha area, including catchment N20B. The herd increased to an average of 270 adults with the goal of a grazing rate of ~25% removal of aboveground production each year",likely kept artifically constant,0.26 Bison bison,0,individuals,hectare,28,,10220,2,2020,cumulative,diversity,vegetation,plants,higher_level,all plants,evenness,"",mean,SD,Fig_S2,Fig S2B,0.6348148,0.09179677,40,0.6144444,0.07273928,40,lowland,"",JT,plant_evenness,150.606378,579.2553,579.2553,30.6991153067535,0.000873116675189873,0.0326148579627906,0.050370856181326,0.243591849231785,0.0516822910415312,0.243591849231785,4
dp_8,Noble et al 2025 Ecological Applications,Native megafauna (Bison bison) act as a surprising inhibitor of cedar tree expansion in a Great Plains grassland,https://doi.org/10.1002/eap.70108,Semi-Domestic,"Bison introduced 1920 to current range, herd size of 270 adults with goal of grating ~25 % aboveground production each year","most data not usable, some sspeces richness and soil metrics n supplement","Paired with burning, but both control and treatment standardized","This study took place at Konza Prairie Biological Station (KPBS), a 3487-ha native tallgrass prairie located in northeastern Kansas, USA (39°05′ N, 96°35′ W). KPBS is a National Science Foundation long-term ecological research (LTER) in the Flint Hills ecoregion of the Central Great Plains, the largest expanse of unplowed tallgrass prairie in North America",Population size likely artifically managed,distal comparison with and without,with_introduction,1012,1,10120000,1,10,40 per treatment and catchment type,,"",plot,North America,39.08339354,-96.5832714,reasonable,Konza Prairie Biological Station,Bison bison,"In 1987, 30 bison were introduced and restricted to under half of their current spatial extent, including catchment N20A. In 1992, the bison herd was given access to its current 1012 ha area, including catchment N20B. The herd increased to an average of 270 adults with the goal of a grazing rate of ~25% removal of aboveground production each year",likely kept artifically constant,0.26 Bison bison,0,individuals,hectare,28,,10220,2,2020,cumulative,diversity,vegetation,plants,higher_level,all plants,evenness,"",mean,SD,Fig_S2,Fig S2B,0.7096296,0.05523769,40,0.6003704,0.12365526,40,upland,"",JT,plant_evenness,150.606378,579.2553,579.2553,30.6991153067535,0.00121201633446961,0.167196345689225,0.0579792044051308,1.12989942243588,0.0631099616258996,1.12989942243588,4
dp_9,Noble et al 2025 Ecological Applications,Native megafauna (Bison bison) act as a surprising inhibitor of cedar tree expansion in a Great Plains grassland,https://doi.org/10.1002/eap.70108,Semi-Domestic,"Bison introduced 1920 to current range, herd size of 270 adults with goal of grating ~25 % aboveground production each year","most data not usable, some sspeces richness and soil metrics n supplement","Paired with burning, but both control and treatment standardized","This study took place at Konza Prairie Biological Station (KPBS), a 3487-ha native tallgrass prairie located in northeastern Kansas, USA (39°05′ N, 96°35′ W). KPBS is a National Science Foundation long-term ecological research (LTER) in the Flint Hills ecoregion of the Central Great Plains, the largest expanse of unplowed tallgrass prairie in North America",Population size likely artifically managed,distal comparison with and without,with_introduction,1012,1,10120000,1,10,40 per treatment and catchment type,,"",plot,North America,39.08339354,-96.5832714,reasonable,Konza Prairie Biological Station,Bison bison,"In 1987, 30 bison were introduced and restricted to under half of their current spatial extent, including catchment N20A. In 1992, the bison herd was given access to its current 1012 ha area, including catchment N20B. The herd increased to an average of 270 adults with the goal of a grazing rate of ~25% removal of aboveground production each year",likely kept artifically constant,0.26 Bison bison,0,individuals,hectare,2,,730,1,1994,cumulative,diversity,vegetation,plants,higher_level,all plants,exponential shannon index,"",mean,SD,Fig_S2,Fig S2C,10.1215278,2.39260648,40,9.5833333,1.72306018,40,lowland,"",JT,plant_diversity,150.606378,579.2553,579.2553,30.6991153067535,0.00220516000900961,0.0546391457471983,0.0504084791231793,0.25564948603252,0.051743097951227,0.25564948603252,8
dp_10,Noble et al 2025 Ecological Applications,Native megafauna (Bison bison) act as a surprising inhibitor of cedar tree expansion in a Great Plains grassland,https://doi.org/10.1002/eap.70108,Semi-Domestic,"Bison introduced 1920 to current range, herd size of 270 adults with goal of grating ~25 % aboveground production each year","most data not usable, some sspeces richness and soil metrics n supplement","Paired with burning, but both control and treatment standardized","This study took place at Konza Prairie Biological Station (KPBS), a 3487-ha native tallgrass prairie located in northeastern Kansas, USA (39°05′ N, 96°35′ W). KPBS is a National Science Foundation long-term ecological research (LTER) in the Flint Hills ecoregion of the Central Great Plains, the largest expanse of unplowed tallgrass prairie in North America",Population size likely artifically managed,distal comparison with and without,with_introduction,1012,1,10120000,1,10,40 per treatment and catchment type,,"",plot,North America,39.08339354,-96.5832714,reasonable,Konza Prairie Biological Station,Bison bison,"In 1987, 30 bison were introduced and restricted to under half of their current spatial extent, including catchment N20A. In 1992, the bison herd was given access to its current 1012 ha area, including catchment N20B. The herd increased to an average of 270 adults with the goal of a grazing rate of ~25% removal of aboveground production each year",likely kept artifically constant,0.26 Bison bison,0,individuals,hectare,2,,730,1,1994,cumulative,diversity,vegetation,plants,higher_level,all plants,exponential shannon index,"",mean,SD,Fig_S2,Fig S2C,8.8368056,2.34939077,40,7.9166667,1.58488879,40,upland,"",JT,plant_diversity,150.606378,579.2553,579.2553,30.6991153067535,0.00276906084520015,0.10995520785508,0.051292396365302,0.454734448275377,0.0527934881702797,0.454734448275377,8
