data_point_id,time_series_clean,citation,experimental_mechanism,site_name,individuals_ha,species,mass_kg,common_name,biomass_kg_ha
dp_1,1,Noble et al 2025 Ecological Applications,distal comparison with and without,Konza Prairie Biological Station,0.26,Bison bison,579.2553,American Bison,150.606378
dp_2,1,Noble et al 2025 Ecological Applications,distal comparison with and without,Konza Prairie Biological Station,0.26,Bison bison,579.2553,American Bison,150.606378
dp_3,2,Noble et al 2025 Ecological Applications,distal comparison with and without,Konza Prairie Biological Station,0.26,Bison bison,579.2553,American Bison,150.606378
dp_4,2,Noble et al 2025 Ecological Applications,distal comparison with and without,Konza Prairie Biological Station,0.26,Bison bison,579.2553,American Bison,150.606378
dp_5,1,Noble et al 2025 Ecological Applications,distal comparison with and without,Konza Prairie Biological Station,0.26,Bison bison,579.2553,American Bison,150.606378
dp_6,1,Noble et al 2025 Ecological Applications,distal comparison with and without,Konza Prairie Biological Station,0.26,Bison bison,579.2553,American Bison,150.606378
dp_7,2,Noble et al 2025 Ecological Applications,distal comparison with and without,Konza Prairie Biological Station,0.26,Bison bison,579.2553,American Bison,150.606378
dp_8,2,Noble et al 2025 Ecological Applications,distal comparison with and without,Konza Prairie Biological Station,0.26,Bison bison,579.2553,American Bison,150.606378
dp_9,1,Noble et al 2025 Ecological Applications,distal comparison with and without,Konza Prairie Biological Station,0.26,Bison bison,579.2553,American Bison,150.606378
dp_10,1,Noble et al 2025 Ecological Applications,distal comparison with and without,Konza Prairie Biological Station,0.26,Bison bison,579.2553,American Bison,150.606378
dp_11,2,Noble et al 2025 Ecological Applications,distal comparison with and without,Konza Prairie Biological Station,0.26,Bison bison,579.2553,American Bison,150.606378
dp_12,2,Noble et al 2025 Ecological Applications,distal comparison with and without,Konza Prairie Biological Station,0.26,Bison bison,579.2553,American Bison,150.606378
dp_13,1,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MBV,0.25,Equus ferus caballus,300,Horse,75
dp_13,1,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MBV,0.09,Bos primigenius taurus,750,Cattle,67.5
dp_14,1,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MTR,0.16,Equus ferus caballus,300,Horse,48
dp_14,1,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MTR,0.12,Bison bonasus,500,European Bison,60
dp_14,1,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MTR,0.02,Bos primigenius taurus,750,Cattle,15
dp_15,1,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,DOB,0.2,Equus ferus caballus,300,Horse,60
dp_16,1,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,HAV,0.23,Equus ferus caballus,300,Horse,69
dp_17,1,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MAS,0.31,Equus ferus caballus,300,Horse,93
